year specfp_normalized
2009 31.229236
2009 36.033351
2010 13.975913
2010 17.451202
2010 18.4030936
2010 18.740066
2010 19.8650686
2010 20.945579
2010 22.3023256
2010 23.7151335
2010 25.470558
2010 25.813411
2010 26.343098
2010 26.6979869
2010 27.7223024
2010 29.3391333
2010 30.1712854
2010 31.087135
2010 31.47048
2010 32.2530039
2010 33.4852474
2010 33.836082
2010 46.230446
2011 15.082101
2011 18.1957419
2011 21.1752416
2011 23.2631575
2011 23.580197
2011 24.4982355
2011 25.3244966
2011 27.5366262
2011 29.7120394
2011 30.545405
2011 31.363693
2011 33.7408892
2011 36.3602808
2011 37.2662648
2011 38.2095066
2011 39.383216
2011 40.514995
2011 41.911102
2011 43.9771846
2011 47.4602448
2011 58.528981
2012 21.524682
2012 26.7708486
2012 29.962257
2012 32.1993545
2012 33.6560726
2012 34.6199305
2012 35.17645
2012 35.7077309
2012 36.8363094
2012 38.7296086
2012 39.656528
2012 41.2792321
2012 42.0739672
2012 43.0310868
2012 44.894511
2012 45.874512
2012 47.2743148
2012 48.5873941
2012 50.5543174
2012 53.7195261
2012 59.129429
2013 15.736802
2013 29.5312478
2013 34.6766384
2013 38.13517865
2013 39.9150924
2013 40.7757805
2013 42.2683637
2013 44.8311916
2013 47.5434166
2013 48.3005944
2013 49.4031605
2013 51.4279925
2013 52.6802248
2013 53.2070358
2013 53.8986822
2013 55.486324
2013 56.9764312
2013 57.97339585
2013 59.2873523
2013 61.0103425
2013 63.959725
2014 22.014495
2014 30.5366866
2014 35.0655538
2014 39.1963712
2014 42.8023904
2014 44.771061
2014 47.3667674
2014 48.8368072
2014 50.141968
2014 51.3295782
2014 52.772925
2014 53.9396066
2014 54.628524
2014 55.5490348
2014 56.387045
2014 57.335221
2014 57.9649774
2014 59.0512786
2014 61.853976
2014 63.4121062
2014 67.73244
2015 29.802242
2015 37.15577815
2015 46.9098427
2015 48.9649951
2015 50.7891428
2015 53.79033375
2015 55.2853026
2015 56.35420385
2015 57.3570724
2015 58.3833527
2015 59.4526575
2015 63.22918475
2015 64.890532
2015 69.4000976
2015 73.294427
2015 75.90880775
2015 77.7709672
2015 78.8560038
2015 79.7650617
2015 81.07509035
2015 86.979769
2016 34.786238
2016 36.468865
2016 43.9598796
2016 49.58036755
2016 52.5559336
2016 54.0083375
2016 55.0013235
2016 55.7284014
2016 56.2547848
2016 56.6785904
2016 57.1813575
2016 58.51763605
2016 59.822935
2016 60.84233
2016 61.5464077
2016 62.27660875
2016 63.0106656
2016 65.5421404
2016 67.181344
2016 69.07922065
2016 82.64185
